scale,r,g,b,hex
0,27,14,2,#1b0e02
0.010101010101010102,30,16,2,#1e1002
0.020202020202020204,32,18,3,#201203
0.030303030303030304,34,20,3,#221403
0.04040404040404041,37,21,3,#251503
0.050505050505050504,40,22,4,#281604
0.06060606060606061,43,24,5,#2b1805
0.0707070707070707,46,25,6,#2e1906
0.08080808080808081,50,26,7,#321a07
0.09090909090909091,53,27,7,#351b07
0.10101010101010101,57,28,8,#391c08
0.1111111111111111,60,29,8,#3c1d08
0.12121212121212122,64,30,8,#401e08
0.13131313131313133,68,31,8,#441f08
0.1414141414141414,72,32,7,#482007
0.15151515151515152,76,32,7,#4c2007
0.16161616161616163,80,33,6,#502106
0.1717171717171717,84,34,5,#542205
0.18181818181818182,88,34,5,#582205
0.1919191919191919,93,34,4,#5d2204
0.20202020202020202,98,34,4,#622204
0.21212121212121213,102,34,4,#662204
0.2222222222222222,106,34,6,#6a2206
0.23232323232323232,111,34,8,#6f2208
0.24242424242424243,115,34,10,#73220a
0.25252525252525254,120,34,12,#78220c
0.26262626262626265,124,35,14,#7c230e
0.2727272727272727,128,35,17,#802311
0.2828282828282828,132,35,19,#842313
0.29292929292929293,137,35,21,#892315
0.30303030303030304,140,36,25,#8c2419
0.31313131313131315,144,37,28,#90251c
0.32323232323232326,148,38,31,#94261f
0.3333333333333333,151,39,34,#972722
0.3434343434343434,155,41,38,#9b2926
0.35353535353535354,158,42,41,#9e2a29
0.36363636363636365,161,44,45,#a12c2d
0.37373737373737376,165,46,48,#a52e30
0.3838383838383838,167,48,52,#a73034
0.3939393939393939,170,51,55,#aa3337
0.40404040404040403,172,54,58,#ac363a
0.41414141414141414,175,56,61,#af383d
0.42424242424242425,177,59,65,#b13b41
0.43434343434343436,179,62,69,#b33e45
0.4444444444444444,181,65,72,#b54148
0.45454545454545453,183,68,76,#b7444c
0.46464646464646464,185,71,80,#b94750
0.47474747474747475,187,75,84,#bb4b54
0.48484848484848486,188,78,88,#bc4e58
0.494949494949495,190,81,92,#be515c
0.5050505050505051,191,85,96,#bf5560
0.5151515151515151,192,89,100,#c05964
0.5252525252525253,193,92,103,#c15c67
0.5353535353535354,193,96,107,#c1606b
0.5454545454545454,194,100,111,#c2646f
0.5555555555555556,194,104,114,#c26872
0.5656565656565656,194,108,118,#c26c76
0.5757575757575758,193,112,122,#c1707a
0.5858585858585859,193,116,125,#c1747d
0.5959595959595959,193,120,128,#c17880
0.6060606060606061,193,123,131,#c17b83
0.6161616161616161,194,127,134,#c27f86
0.6262626262626263,194,131,137,#c28389
0.6363636363636364,194,134,139,#c2868b
0.6464646464646465,194,138,142,#c28a8e
0.6565656565656566,194,141,145,#c28d91
0.6666666666666666,194,145,147,#c29193
0.6767676767676768,194,148,150,#c29496
0.6868686868686869,194,152,154,#c2989a
0.696969696969697,194,155,157,#c29b9d
0.7070707070707071,194,158,160,#c29ea0
0.7171717171717171,195,162,163,#c3a2a3
0.7272727272727273,195,165,166,#c3a5a6
0.7373737373737373,196,168,168,#c4a8a8
0.7474747474747475,196,171,171,#c4abab
0.7575757575757576,197,174,174,#c5aeae
0.7676767676767676,198,177,176,#c6b1b0
0.7777777777777778,199,180,179,#c7b4b3
0.7878787878787878,199,183,182,#c7b7b6
0.797979797979798,200,186,184,#c8bab8
0.8080808080808081,201,189,187,#c9bdbb
0.8181818181818182,202,192,190,#cac0be
0.8282828282828283,203,196,193,#cbc4c1
0.8383838383838383,204,198,195,#ccc6c3
0.8484848484848485,206,201,197,#cec9c5
0.8585858585858586,207,204,199,#cfccc7
0.8686868686868687,208,207,201,#d0cfc9
0.8787878787878788,209,210,203,#d1d2cb
0.8888888888888888,211,213,206,#d3d5ce
0.898989898989899,212,216,208,#d4d8d0
0.9090909090909091,213,219,211,#d5dbd3
0.9191919191919192,213,222,214,#d5ded6
0.9292929292929293,214,226,216,#d6e2d8
0.9393939393939394,215,229,219,#d7e5db
0.9494949494949495,215,232,222,#d7e8de
0.9595959595959596,216,235,224,#d8ebe0
0.9696969696969697,216,238,226,#d8eee2
0.9797979797979798,217,241,229,#d9f1e5
0.98989898989899,217,245,231,#d9f5e7
1,218,248,233,#daf8e9